name_ch,name_en,team_ch,team_en,number,position,height,weight,weight,birthday,annual_salary
马科-贝里内利,Marco Belinelli,马刺,spurs,18,G-F,1.96米/6尺5,95公斤/210磅,95公斤/210磅,1986-03-25,本年薪金：615万美元
布林-福布斯,Bryn Forbes,马刺,spurs,11,G,1.91米/6尺3,86公斤/190磅,86公斤/190磅,1993-07-23,本年薪金：313万美元
雅各布-珀尔特尔,Jakob Poeltl,马刺,spurs,25,C,2.13米/7尺0,104公斤/230磅,104公斤/230磅,1995-10-15,本年薪金：295万美元
丹特-坎宁安,Dante Cunningham,马刺,spurs,33,F,2.03米/6尺8,104公斤/230磅,104公斤/230磅,1987-04-22,本年薪金：248万美元
朗尼-沃克,Lonnie Walker IV,马刺,spurs,1,G,1.96米/6尺5,93公斤/204磅,93公斤/204磅,1998-12-14,本年薪金：236万美元
昆西-庞德塞特,Quincy Pondexter,马刺,spurs,3,F,2.01米/6尺7,102公斤/225磅,102公斤/225磅,1988-03-10,本年薪金：217万美元
德里克-怀特,Derrick White,马刺,spurs,4,G,1.96米/6尺5,91公斤/200磅,91公斤/200磅,1994-07-02,本年薪金：167万美元
德章泰-默里,Dejounte Murray,马刺,spurs,5,G,1.96米/6尺5,77公斤/170磅,77公斤/170磅,1996-09-19,本年薪金：129万美元
奇梅齐耶-梅图,Chimezie Metu,马刺,spurs,7,F,2.08米/6尺10,102公斤/225磅,102公斤/225磅,1997-03-22,本年薪金：84万美元
本-摩尔,Ben Moore,马刺,spurs,26,F,2.03米/6尺8,100公斤/220磅,100公斤/220磅,1995-05-13,本年薪金：7万美元
德鲁-尤班克斯,Drew Eubanks,马刺,spurs,14,F,2.08米/6尺10,113公斤/250磅,113公斤/250磅,1997-02-01,本年薪金：7万美元
鲁迪-戈贝尔,Rudy Gobert,爵士,jazz,27,C,2.16米/7尺1,111公斤/245磅,111公斤/245磅,1992-06-26,本年薪金：2274万美元
德里克-费沃斯,Derrick Favors,爵士,jazz,15,F-C,2.08米/6尺10,120公斤/265磅,120公斤/265磅,1991-07-15,本年薪金：1600万美元
里基-卢比奥,Ricky Rubio,爵士,jazz,3,G,1.93米/6尺4,86公斤/190磅,86公斤/190磅,1990-10-21,本年薪金：1480万美元
乔-英格尔斯,Joe Ingles,爵士,jazz,2,F,2.03米/6尺8,102公斤/226磅,102公斤/226磅,1987-10-02,本年薪金：1305万美元
丹特-埃克萨姆,Dante Exum,爵士,jazz,11,G,1.98米/6尺6,86公斤/190磅,86公斤/190磅,1995-07-13,本年薪金：910万美元
凯尔-科沃尔,Kyle Korver,爵士,jazz,26,G-F,2.01米/6尺7,96公斤/212磅,96公斤/212磅,1981-03-17,本年薪金：756万美元
杰-克劳德,Jae Crowder,爵士,jazz,99,F,1.98米/6尺6,107公斤/235磅,107公斤/235磅,1990-07-06,本年薪金：746万美元
萨博-塞福洛沙,Thabo Sefolosha,爵士,jazz,22,F,2.01米/6尺7,100公斤/220磅,100公斤/220磅,1984-05-02,本年薪金：525万美元
艾派-尤度,Ekpe Udoh,爵士,jazz,33,F-C,2.08米/6尺10,111公斤/245磅,111公斤/245磅,1987-05-20,本年薪金：336万美元
多诺万-米切尔,Donovan Mitchell,爵士,jazz,45,G,1.91米/6尺3,98公斤/215磅,98公斤/215磅,1996-09-07,本年薪金：311万美元
劳尔-内托,Raul Neto,爵士,jazz,25,G,1.85米/6尺1,81公斤/179磅,81公斤/179磅,1992-05-19,本年薪金：210万美元
格雷森-阿伦,Grayson Allen,爵士,jazz,24,G,1.96米/6尺5,93公斤/205磅,93公斤/205磅,1995-10-08,本年薪金：207万美元
托尼-布拉德利,Tony Bradley,爵士,jazz,13,C,2.08米/6尺10,109公斤/240磅,109公斤/240磅,1998-01-08,本年薪金：168万美元
乔治-尼昂,Georges Niang,爵士,jazz,31,F,2.03米/6尺8,104公斤/230磅,104公斤/230磅,1993-06-17,本年薪金：151万美元
罗伊斯-奥尼尔,Royce O'Neale,爵士,jazz,23,F,1.98米/6尺6,102公斤/226磅,102公斤/226磅,1993-06-05,本年薪金：138万美元
纳兹-米特鲁-朗,Naz Mitrou-Long,爵士,jazz,30,G,1.93米/6尺4,99公斤/218磅,99公斤/218磅,1993-08-03,本年薪金：7万美元
泰勒-卡瓦诺,Tyler Cavanaugh,爵士,jazz,34,F,2.06米/6尺9,108公斤/238磅,108公斤/238磅,1994-02-09,本年薪金：7万美元
尼古拉斯-巴图姆,Nicolas Batum,黄蜂,hornets,5,G-F,2.03米/6尺8,91公斤/200磅,91公斤/200磅,1988-12-14,本年薪金：2400万美元
俾斯麦-比永博,Bismack Biyombo,黄蜂,hornets,8,C,2.06米/6尺9,116公斤/255磅,116公斤/255磅,1992-08-28,本年薪金：1700万美元
马文-威廉姆斯,Marvin Williams,黄蜂,hornets,2,F,2.06米/6尺9,107公斤/237磅,107公斤/237磅,1986-06-19,本年薪金：1409万美元
科迪-泽勒,Cody Zeller,黄蜂,hornets,40,C,2.13米/7尺0,109公斤/240磅,109公斤/240磅,1992-10-05,本年薪金：1353万美元
迈克尔-基德-吉尔克里斯特,Michael Kidd-Gilchrist,黄蜂,hornets,14,F,2.01米/6尺7,105公斤/232磅,105公斤/232磅,1993-09-26,本年薪金：1300万美元
肯巴-沃克,Kemba Walker,黄蜂,hornets,15,G,1.85米/6尺1,83公斤/184磅,83公斤/184磅,1990-05-08,本年薪金：1200万美元
杰里米-兰姆,Jeremy Lamb,黄蜂,hornets,3,G,1.96米/6尺5,84公斤/185磅,84公斤/185磅,1992-05-30,本年薪金：749万美元
托尼-帕克,Tony Parker,黄蜂,hornets,9,G,1.88米/6尺2,84公斤/185磅,84公斤/185磅,1982-05-17,本年薪金：500万美元
弗兰克-卡明斯基,Frank Kaminsky,黄蜂,hornets,44,F-C,2.13米/7尺0,109公斤/240磅,109公斤/240磅,1993-04-04,本年薪金：363万美元
马利克-蒙克,Malik Monk,黄蜂,hornets,1,G,1.91米/6尺3,91公斤/200磅,91公斤/200磅,1998-02-04,本年薪金：345万美元
迈尔斯-布里奇斯,Miles Bridges,黄蜂,hornets,0,F,2.01米/6尺7,102公斤/225磅,102公斤/225磅,1998-03-21,本年薪金：320万美元
吉列尔莫-埃尔南戈麦斯,Willy Hernangomez,黄蜂,hornets,41,C,2.11米/6尺11,109公斤/240磅,109公斤/240磅,1994-05-27,本年薪金：150万美元
德维恩-培根,Dwayne Bacon,黄蜂,hornets,7,G-F,2.01米/6尺7,100公斤/220磅,100公斤/220磅,1995-08-30,本年薪金：138万美元
德文特-格雷厄姆,Devonte' Graham,黄蜂,hornets,4,G,1.88米/6尺2,84公斤/185磅,84公斤/185磅,1995-02-22,本年薪金：99万美元
乔-奇利,Joe Chealey,黄蜂,hornets,31,G,1.93米/6尺4,86公斤/190磅,86公斤/190磅,1995-11-01,本年薪金：7万美元
JP-马楚拉,J.P. Macura,黄蜂,hornets,55,G,1.96米/6尺5,92公斤/203磅,92公斤/203磅,1995-06-05,本年薪金：7万美元
勒布朗-詹姆斯,LeBron James,湖人,lakers,23,F-G,2.03米/6尺8,113公斤/250磅,113公斤/250磅,1984-12-30,本年薪金：3565万美元
肯塔维厄斯-考德威尔-波普,Kentavious Caldwell-Pope,湖人,lakers,1,G,1.96米/6尺5,93公斤/205磅,93公斤/205磅,1993-02-18,本年薪金：1200万美元
拉简-隆多,Rajon Rondo,湖人,lakers,9,G,1.85米/6尺1,84公斤/186磅,84公斤/186磅,1986-02-22,本年薪金：900万美元
朗佐-鲍尔,Lonzo Ball,湖人,lakers,2,G,1.98米/6尺6,86公斤/190磅,86公斤/190磅,1997-10-27,本年薪金：746万美元
布兰登-英格拉姆,Brandon Ingram,湖人,lakers,14,F,2.06米/6尺9,86公斤/190磅,86公斤/190磅,1997-09-02,本年薪金：576万美元
兰斯-史蒂芬森,Lance Stephenson,湖人,lakers,6,G,1.96米/6尺5,104公斤/230磅,104公斤/230磅,1990-09-05,本年薪金：445万美元
迈克尔-比斯利,Michael Beasley,湖人,lakers,11,F,2.08米/6尺10,107公斤/235磅,107公斤/235磅,1989-01-09,本年薪金：350万美元
贾维尔-麦基,JaVale McGee,湖人,lakers,7,C,2.13米/7尺0,122公斤/270磅,122公斤/270磅,1988-01-19,本年薪金：239万美元
泰森-钱德勒,Tyson Chandler,湖人,lakers,5,C,2.16米/7尺1,109公斤/240磅,109公斤/240磅,1982-10-02,本年薪金：211万美元
莫里茨-瓦格纳,Moritz Wagner,湖人,lakers,15,C-F,2.11米/6尺11,109公斤/240磅,109公斤/240磅,1997-04-26,本年薪金：176万美元
凯尔-库兹马,Kyle Kuzma,湖人,lakers,0,F,2.06米/6尺9,100公斤/220磅,100公斤/220磅,1995-07-24,本年薪金：169万美元
约什-哈特,Josh Hart,湖人,lakers,3,G,1.96米/6尺5,98公斤/215磅,98公斤/215磅,1995-03-06,本年薪金：166万美元
斯维亚托斯拉夫-米哈伊柳克,Svi Mykhailiuk,湖人,lakers,10,F,2.03米/6尺8,87公斤/192磅,87公斤/192磅,1997-06-10,本年薪金：149万美元
伊维察-祖巴茨,Ivica Zubac,湖人,lakers,40,C,2.16米/7尺1,109公斤/240磅,109公斤/240磅,1997-03-18,本年薪金：113万美元
伊萨克-邦加,Isaac Bonga,湖人,lakers,17,G,2.03米/6尺8,81公斤/179磅,81公斤/179磅,1999-11-08,本年薪金：100万美元
乔纳森-威廉姆斯,Johnathan Williams,湖人,lakers,19,F,2.06米/6尺9,103公斤/228磅,103公斤/228磅,1995-05-22,本年薪金：84万美元
亚历克斯-卡鲁索,Alex Caruso,湖人,lakers,4,G,1.96米/6尺5,84公斤/186磅,84公斤/186磅,1994-02-28,本年薪金：7万美元
拉塞尔-威斯布鲁克,Russell Westbrook,雷霆,thunder,0,G,1.91米/6尺3,91公斤/200磅,91公斤/200磅,1988-11-12,本年薪金：3535万美元
保罗-乔治,Paul George,雷霆,thunder,13,F,2.06米/6尺9,100公斤/220磅,100公斤/220磅,1990-05-02,本年薪金：3056万美元
史蒂文-亚当斯,Steven Adams,雷霆,thunder,12,C,2.13米/7尺0,116公斤/255磅,116公斤/255磅,1993-07-20,本年薪金：2416万美元
丹尼斯-施罗德,Dennis Schroder,雷霆,thunder,17,G,1.85米/6尺1,78公斤/172磅,78公斤/172磅,1993-09-15,本年薪金：1550万美元
安德烈-罗伯森,Andre Roberson,雷霆,thunder,21,G-F,2.01米/6尺7,95公斤/210磅,95公斤/210磅,1991-12-04,本年薪金：1000万美元
杰拉米-格兰特,Jerami Grant,雷霆,thunder,9,F,2.06米/6尺9,95公斤/210磅,95公斤/210磅,1994-03-12,本年薪金：865万美元
亚历克斯-阿夫里内斯,Alex Abrines,雷霆,thunder,8,G-F,1.98米/6尺6,86公斤/190磅,86公斤/190磅,1993-08-01,本年薪金：546万美元
帕特里克-帕特森,Patrick Patterson,雷霆,thunder,54,F,2.06米/6尺9,107公斤/235磅,107公斤/235磅,1989-03-14,本年薪金：545万美元
雷蒙德-费尔顿,Raymond Felton,雷霆,thunder,2,G,1.85米/6尺1,93公斤/205磅,93公斤/205磅,1984-06-26,本年薪金：239万美元
特伦斯-弗格森,Terrance Ferguson,雷霆,thunder,23,G,2.01米/6尺7,84公斤/185磅,84公斤/185磅,1998-05-17,本年薪金：212万美元
纳伦斯-诺埃尔,Nerlens Noel,雷霆,thunder,3,F-C,2.11米/6尺11,103公斤/228磅,103公斤/228磅,1994-04-10,本年薪金：175万美元
蒂莫泰-卢瓦乌-卡巴罗,Timothe Luwawu-Cabarrot,雷霆,thunder,7,G-F,1.98米/6尺6,93公斤/205磅,93公斤/205磅,1995-05-09,本年薪金：145万美元
阿卜杜勒-纳迪尔,Abdel Nader,雷霆,thunder,11,F,1.98米/6尺6,104公斤/230磅,104公斤/230磅,1993-09-25,本年薪金：138万美元
哈米杜-迪亚洛,Hamidou Diallo,雷霆,thunder,6,G,1.96米/6尺5,90公斤/198磅,90公斤/198磅,1998-07-31,本年薪金：84万美元
德翁特-伯顿,Deonte Burton,雷霆,thunder,30,G,1.96米/6尺5,113公斤/250磅,113公斤/250磅,1994-01-31,本年薪金：7万美元
唐特-格兰瑟姆,Donte Grantham,雷霆,thunder,15,F,2.03米/6尺8,98公斤/215磅,98公斤/215磅,1995-03-19,本年薪金：7万美元
朱-霍勒迪,Jrue Holiday,鹈鹕,pelicans,11,G,1.93米/6尺4,93公斤/205磅,93公斤/205磅,1990-06-12,本年薪金：2613万美元
安东尼-戴维斯,Anthony Davis,鹈鹕,pelicans,23,F-C,2.08米/6尺10,115公斤/253磅,115公斤/253磅,1993-03-11,本年薪金：2543万美元
尼古拉-米罗蒂奇,Nikola Mirotic,鹈鹕,pelicans,3,F,2.08米/6尺10,108公斤/238磅,108公斤/238磅,1991-02-11,本年薪金：1250万美元
所罗门-希尔,Solomon Hill,鹈鹕,pelicans,44,F,2.01米/6尺7,102公斤/225磅,102公斤/225磅,1991-03-18,本年薪金：1225万美元
伊托万-摩尔,E'Twaun Moore,鹈鹕,pelicans,55,G,1.93米/6尺4,87公斤/191磅,87公斤/191磅,1989-02-25,本年薪金：881万美元
朱利叶斯-兰德尔,Julius Randle,鹈鹕,pelicans,30,F,2.06米/6尺9,113公斤/250磅,113公斤/250磅,1994-11-29,本年薪金：864万美元
韦斯利-约翰逊,Wesley Johnson,鹈鹕,pelicans,33,F,2.01米/6尺7,98公斤/215磅,98公斤/215磅,1987-07-11,本年薪金：613万美元
埃尔弗里德-佩顿,Elfrid Payton,鹈鹕,pelicans,4,G,1.93米/6尺4,84公斤/185磅,84公斤/185磅,1994-02-22,本年薪金：270万美元
达柳斯-米勒,Darius Miller,鹈鹕,pelicans,21,F,2.03米/6尺8,102公斤/225磅,102公斤/225磅,1990-03-21,本年薪金：221万美元
伊恩-克拉克,Ian Clark,鹈鹕,pelicans,2,G,1.91米/6尺3,79公斤/175磅,79公斤/175磅,1991-03-07,本年薪金：176万美元
蒂姆-弗雷泽,Tim Frazier,鹈鹕,pelicans,10,G,1.85米/6尺1,77公斤/170磅,77公斤/170磅,1990-11-01,本年薪金：162万美元
贾利尔-奥卡福,Jahlil Okafor,鹈鹕,pelicans,8,C,2.11米/6尺11,125公斤/275磅,125公斤/275磅,1995-12-15,本年薪金：157万美元
谢赫-迪亚洛,Cheick Diallo,鹈鹕,pelicans,13,F,2.06米/6尺9,100公斤/220磅,100公斤/220磅,1996-09-13,本年薪金：152万美元
弗兰克-杰克逊,Frank Jackson,鹈鹕,pelicans,15,G,1.91米/6尺3,93公斤/205磅,93公斤/205磅,1998-05-04,本年薪金：138万美元
肯里奇-威廉姆斯,Kenrich Williams,鹈鹕,pelicans,34,G-F,2.01米/6尺7,95公斤/209磅,95公斤/209磅,1994-12-02,本年薪金：84万美元
特雷旺-布卢伊特,Trevon Bluiett,鹈鹕,pelicans,5,G,1.96米/6尺5,98公斤/215磅,98公斤/215磅,1994-11-04,本年薪金：7万美元
乔尔-恩比德,Joel Embiid,76人,76ers,21,C,2.13米/7尺0,113公斤/250磅,113公斤/250磅,1994-03-16,本年薪金：2525万美元
吉米-巴特勒,Jimmy Butler,76人,76ers,23,F,2.01米/6尺7,105公斤/231磅,105公斤/231磅,1989-09-14,本年薪金：1869万美元
威尔森-钱德勒,Wilson Chandler,76人,76ers,22,F,2.03米/6尺8,102公斤/225磅,102公斤/225磅,1987-05-10,本年薪金：1280万美元
JJ-雷迪克,JJ Redick,76人,76ers,17,G,1.93米/6尺4,86公斤/190磅,86公斤/190磅,1984-06-24,本年薪金：1225万美元
马克尔-富尔茨,Markelle Fultz,76人,76ers,20,G,1.93米/6尺4,86公斤/190磅,86公斤/190磅,1998-05-29,本年薪金：834万美元
本-西蒙斯,Ben Simmons,76人,76ers,25,G-F,2.08米/6尺10,109公斤/240磅,109公斤/240磅,1996-07-20,本年薪金：643万美元
迈克-穆斯卡拉,Mike Muscala,76人,76ers,31,F-C,2.11米/6尺11,109公斤/240磅,109公斤/240磅,1991-07-01,本年薪金：500万美元
贾斯廷-巴顿,Justin Patton,76人,76ers,0,C,2.13米/7尺0,104公斤/230磅,104公斤/230磅,1997-06-14,本年薪金：267万美元
扎伊尔-史密斯,Zhaire Smith,76人,76ers,8,G,1.93米/6尺4,90公斤/199磅,90公斤/199磅,1999-06-04,本年薪金：261万美元
阿米尔-约翰逊,Amir Johnson,76人,76ers,5,C-F,2.06米/6尺9,109公斤/240磅,109公斤/240磅,1987-05-01,本年薪金：239万美元
兰德里-沙梅特,Landry Shamet,76人,76ers,1,G,1.93米/6尺4,82公斤/180磅,82公斤/180磅,1997-03-13,本年薪金：170万美元
乔纳-博尔登,Jonah Bolden,76人,76ers,43,F,2.08米/6尺10,107公斤/235磅,107公斤/235磅,1996-01-02,本年薪金：169万美元
TJ-麦康奈尔,T.J. McConnell,76人,76ers,12,G,1.88米/6尺2,91公斤/200磅,91公斤/200磅,1992-03-25,本年薪金：160万美元
富尔坎-科尔克马兹,Furkan Korkmaz,76人,76ers,30,G-F,2.01米/6尺7,86公斤/190磅,86公斤/190磅,1997-07-24,本年薪金：150万美元
科里-布鲁尔,Corey Brewer,76人,76ers,00,F,2.06米/6尺9,84公斤/186磅,84公斤/186磅,1986-03-05,本年薪金：14万美元
海伍德-海史密斯,Haywood Highsmith,76人,76ers,7,F,2.01米/6尺7,100公斤/220磅,100公斤/220磅,1996-12-09,本年薪金：7万美元
谢克-米尔顿,Shake Milton,76人,76ers,18,G,1.98米/6尺6,93公斤/205磅,93公斤/205磅,1996-09-26,本年薪金：7万美元
戈登-海沃德,Gordon Hayward,凯尔特人,celtics,20,F,2.03米/6尺8,102公斤/226磅,102公斤/226磅,1990-03-23,本年薪金：3121万美元
艾尔-霍弗德,Al Horford,凯尔特人,celtics,42,C-F,2.08米/6尺10,111公斤/245磅,111公斤/245磅,1986-06-03,本年薪金：2893万美元
凯里-欧文,Kyrie Irving,凯尔特人,celtics,11,G,1.91米/6尺3,88公斤/193磅,88公斤/193磅,1992-03-23,本年薪金：2010万美元
马库斯-斯马特,Marcus Smart,凯尔特人,celtics,36,G,1.93米/6尺4,100公斤/220磅,100公斤/220磅,1994-03-06,本年薪金：1160万美元
杰森-塔特姆,Jayson Tatum,凯尔特人,celtics,0,F,2.03米/6尺8,93公斤/205磅,93公斤/205磅,1998-03-03,本年薪金：670万美元
马库斯-莫里斯,Marcus Morris,凯尔特人,celtics,13,F,2.06米/6尺9,107公斤/235磅,107公斤/235磅,1989-09-02,本年薪金：538万美元
阿隆-贝恩斯,Aron Baynes,凯尔特人,celtics,46,C-F,2.08米/6尺10,118公斤/260磅,118公斤/260磅,1986-12-09,本年薪金：519万美元
杰伦-布朗,Jaylen Brown,凯尔特人,celtics,7,F-G,2.01米/6尺7,102公斤/225磅,102公斤/225磅,1996-10-24,本年薪金：517万美元
特里-罗齐尔,Terry Rozier,凯尔特人,celtics,12,G,1.88米/6尺2,86公斤/190磅,86公斤/190磅,1994-03-17,本年薪金：305万美元
盖尔雄-亚布塞莱,Guerschon Yabusele,凯尔特人,celtics,30,F,2.03米/6尺8,118公斤/260磅,118公斤/260磅,1995-12-17,本年薪金：267万美元
罗伯特-威廉姆斯,Robert Williams III,凯尔特人,celtics,44,C-F,2.06米/6尺9,107公斤/237磅,107公斤/237磅,1997-10-17,本年薪金：165万美元
丹尼尔-泰斯,Daniel Theis,凯尔特人,celtics,27,F,2.06米/6尺9,110公斤/243磅,110公斤/243磅,1992-04-04,本年薪金：138万美元
谢米-奥杰莱,Semi Ojeleye,凯尔特人,celtics,37,F,2.01米/6尺7,107公斤/235磅,107公斤/235磅,1994-12-05,本年薪金：138万美元
贾巴里-伯德,Jabari Bird,凯尔特人,celtics,26,G,1.98米/6尺6,90公斤/198磅,90公斤/198磅,1994-07-03,本年薪金：135万美元
布拉德-沃纳梅克,Brad Wanamaker,凯尔特人,celtics,9,G,1.93米/6尺4,95公斤/210磅,95公斤/210磅,1989-07-25,本年薪金：84万美元
PJ-多齐尔,PJ Dozier,凯尔特人,celtics,50,G-F,1.98米/6尺6,93公斤/205磅,93公斤/205磅,1996-10-25,本年薪金：7万美元
RJ-亨特,RJ Hunter,凯尔特人,celtics,28,G,1.98米/6尺6,84公斤/185磅,84公斤/185磅,1993-10-24,本年薪金：7万美元
阿龙-戈登,Aaron Gordon,魔术,magic,00,F,2.06米/6尺9,100公斤/220磅,100公斤/220磅,1995-09-16,本年薪金：2159万美元
埃文-富尼耶,Evan Fournier,魔术,magic,10,G-F,2.01米/6尺7,93公斤/205磅,93公斤/205磅,1992-10-29,本年薪金：1700万美元
季莫费-莫兹戈夫,Timofey Mozgov,魔术,magic,21,C,2.16米/7尺1,125公斤/275磅,125公斤/275磅,1986-07-16,本年薪金：1634万美元
尼古拉-武切维奇,Nikola Vucevic,魔术,magic,9,C,2.13米/7尺0,118公斤/260磅,118公斤/260磅,1990-10-24,本年薪金：1275万美元
特伦斯-罗斯,Terrence Ross,魔术,magic,31,G-F,2.01米/6尺7,88公斤/195磅,88公斤/195磅,1991-02-05,本年薪金：1050万美元
DJ-奥古斯丁,D.J. Augustin,魔术,magic,14,G,1.83米/6尺0,83公斤/183磅,83公斤/183磅,1987-11-10,本年薪金：725万美元
乔纳森-西蒙斯,Jonathon Simmons,魔术,magic,17,G,1.98米/6尺6,88公斤/195磅,88公斤/195磅,1989-09-14,本年薪金：600万美元
乔纳森-艾萨克,Jonathan Isaac,魔术,magic,1,F,2.08米/6尺10,95公斤/210磅,95公斤/210磅,1997-10-03,本年薪金：497万美元
穆罕默德-班巴,Mohamed Bamba,魔术,magic,5,C,2.16米/7尺1,102公斤/225磅,102公斤/225磅,1998-05-12,本年薪金：486万美元
杰里安-格兰特,Jerian Grant,魔术,magic,22,G,1.93米/6尺4,90公斤/198磅,90公斤/198磅,1992-10-09,本年薪金：326万美元
贾雷尔-马丁,Jarell Martin,魔术,magic,2,F,2.08米/6尺10,108公斤/239磅,108公斤/239磅,1994-05-24,本年薪金：242万美元
肯-伯奇,Khem Birch,魔术,magic,24,C-F,2.06米/6尺9,100公斤/220磅,100公斤/220磅,1992-09-28,本年薪金：138万美元
韦斯利-艾旺杜,Wes Iwundu,魔术,magic,25,F,2.01米/6尺7,93公斤/205磅,93公斤/205磅,1994-12-20,本年薪金：138万美元
梅尔文-弗雷泽,Melvin Frazier Jr.,魔术,magic,35,F-G,1.98米/6尺6,91公斤/201磅,91公斤/201磅,1996-08-30,本年薪金：105万美元
以赛亚-布里斯科,Isaiah Briscoe,魔术,magic,13,G,1.91米/6尺3,91公斤/200磅,91公斤/200磅,1996-04-13,本年薪金：84万美元
特洛伊-科佩恩,Troy Caupain,魔术,magic,3,G,1.93米/6尺4,95公斤/210磅,95公斤/210磅,1995-11-29,本年薪金：7万美元
阿米尔-杰弗森,Amile Jefferson,魔术,magic,11,F,2.06米/6尺9,102公斤/224磅,102公斤/224磅,1993-05-07,本年薪金：7万美元
